model,evaluation,dataset,n_patients,metric_name,metric_value,notes
CellLine-LightGBM,10-fold CV (cell lines),LINCS x GDSC2,719,RMSE,16.6593,std=0.6415
CellLine-LightGBM-on-patients,CTR-DB patient validation (mean),ALL,1912,Mean AUC,0.4674,"10 datasets, std=0.0920"
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE20194,278,AUC,0.508,drug=TFAC (Cyclophosphamide+Doxorubicin+Fluorouracil+Paclitaxel)
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE20194,278,Cohen's d,0.063,"mean_R=103.71, mean_NR=103.21"
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE20194,278,Wilcoxon p-value,0.853172,
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE20271,178,AUC,0.4813,drug=FAC (Cyclophosphamide+Doxorubicin+Fluorouracil)
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE20271,178,Cohen's d,-0.0399,"mean_R=102.30, mean_NR=102.55"
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE20271,178,Wilcoxon p-value,0.762102,
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE25066,488,AUC,0.577,drug=Anthracycline+Taxane
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE25066,488,Cohen's d,0.2535,"mean_R=105.17, mean_NR=103.09"
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE25066,488,Wilcoxon p-value,0.017902,
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE32646,115,AUC,0.4604,drug=TFEC (Cyclophosphamide+Epirubicin+Fluorouracil+Paclitaxel)
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE32646,115,Cohen's d,-0.09,"mean_R=100.63, mean_NR=101.42"
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE32646,115,Wilcoxon p-value,0.537268,
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE41998,206,AUC,0.4597,drug=AC (Cyclophosphamide+Doxorubicin)+Ixabepilone
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE41998,206,Cohen's d,-0.1416,"mean_R=101.43, mean_NR=102.71"
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE41998,206,Wilcoxon p-value,0.768207,
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE4779,102,AUC,0.5425,drug=Cyclophosphamide+Epirubicin+Fluorouracil
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE4779,102,Cohen's d,0.1785,"mean_R=101.21, mean_NR=99.57"
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE4779,102,Wilcoxon p-value,0.4739,
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE50948,156,AUC,0.3982,drug=AT (Doxorubicin+Paclitaxel)+CMF (Cyclophosphamide+Fluorouracil+Methotrexate)+Trastuzumab
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE50948,156,Cohen's d,-0.3071,"mean_R=99.27, mean_NR=101.92"
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE50948,156,Wilcoxon p-value,0.037828,
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE66999,76,AUC,0.2452,drug=Docetaxel+Epirubicin+Pegfilgrastim
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE66999,76,Cohen's d,-0.897,"mean_R=99.88, mean_NR=110.71"
CellLine-LightGBM-on-patients,CTR-DB patient validation,GSE66999,76,Wilcoxon p-value,0.037946,
